Name	category
TAF1A-AS1	Active
MIA3	Active
AIDA	Active
BROX	Active
DISP1	Active
TLR5	Active
TP53BP2	Active
FBXO28	Active
DEGS1	Active
NVL	Active
CNIH4	Active
WDR26	Active
CNIH3	Active
LOC105373109	Active
LBR	Active
SRP9	Active
EPHX1	Active
TMEM63A	Active
PYCR2	Active
SDE2	Active
H3F3A	Active
ACBD3	Active
LOC101927247	Active
LIN9	Active
PARP1	Active
LOC105373119	Active
PSEN2	Active
COQ8A	Active
CDC42BPA	Active
ZNF678	Active
SNAP47	Active
JMJD4	Active
LOC100506571	Active
ARF1	Active
C1orf35	Active
GUK1	Active
IBA57-AS1	Active
IBA57	Active
TRIM11	Active
TRIM17	Active
HIST3H2A	Active
HIST3H2BB	Active
RNF187	Active
LOC105373159	Active
RAB4A	Active
CCSAP	Active
NUP133	Active
LOC101927478	Active
ABCB10	Active
TAF5L	Active
URB2	Active
COG2	Active
C1orf198	Active
C1orf131	Active
GNPAT	Active
EXOC8	Active
SPRTN	Active
TSNAX-DISC1	Active
TSNAX	Active
DISC1	Active
SIPA1L2	Active
MAP10	Active
LOC107985361	Active
NTPCR	Active
PCNX2	Active
LOC101927765	Active
COA6	Active
TARBP1	Active
IRF2BP2	Active
TOMM20	Active
LOC105379283	Active
SNORA14B	Active
RBM34	Active
ARID4B	Active
GGPS1	Active
TBCE	Active
B3GALNT2	Active
HEATR1	Active
GREM2	Active
FH	Active
OPN3	Active
EXO1	Active
CEP170	Active
SDCCAG8	Active
AKT3	Active
ZBTB18	Active
ADSS	Active
CATSPERE	Active
DESI2	Active
COX20	Active
HNRNPU	Active
LOC101928068	Active
SMYD3	Active
TFB2M	Active
CNST	Active
AHCTF1	Active
ZNF670-ZNF695	Active
ZNF695	Active
ZNF670	Active
ZNF669	Active
FLJ39095	Active
LOC112268259	Active
SH3BP5L	Active
MIR3124	Active
ZNF672	Active
PGBD2	Active
EIPR1	Active
TRAPPC12	Active
ADI1	Active
RNASEH1	Active
RNASEH1-AS1	Active
RPS7	Active
LOC112268411	Active
ID2-AS1	Active
ID2	Active
KIDINS220	Active
MBOAT2	Active
LOC100506317	Active
ASAP2	Active
ITGB1BP1	Active
CPSF3	Active
IAH1	Active
ADAM17	Active
YWHAQ	Active
TAF1B	Active
LOC101929882	Active
KLF11	Active
RRM2	Active
ODC1	Active
LOC101929715	Active
FLJ33534	Active
C2orf50	Active
PQLC3	Active
ROCK2	Active
E2F6	Active
GREB1	Active
NBAS	Active
LOC105373440	Active
MYCNOS	Active
SMC6	Active
GEN1	Active
RDH14	Active
LOC105373456	Active
TTC32	Active
WDR35	Active
LOC101928222	Active
PUM2	Active
RHOB	Active
HS1BP3	Active
LOC105373466	Active
LDAH	Active
ATAD2B	Active
UBXN2A	Active
WDCP	Active
SF3B6	Active
FAM228B	Active
PFN4	Active
ITSN2	Active
NCOA1	Active
PTRHD1	Active
LOC105369164	Active
CENPO	Active
ADCY3	Active
DNAJC27	Active
DNAJC27-AS1	Active
ASXL2	Active
KIF3C	Active
RAB10	Active
HADHA	Active
HADHB	Active
DRC1	Active
SLC35F6	Active
CENPA	Active
TMEM214	Active
AGBL5-AS1	Active
AGBL5	Active
OST4	Active
PREB	Active
SLC5A6	Active
ATRAID	Active
CAD	Active
MPV17	Active
GTF3C2	Active
LOC105374363	Active
EIF2B4	Active
SNX17	Active
ZNF513	Active
PPM1G	Active
IFT172	Active
FNDC4	Active
ZNF512	Active
CCDC121	Active
GPN1	Active
SUPT7L	Active
SLC4A1AP	Active
MRPL33	Active
RBKS	Active
BRE-AS1	Active
FOSL2	Active
LOC112267877	Active
PPP1CB	Active
TRMT61B	Active
WDR43	Active
LOC101929418	Active
YPEL5	Active
LCLAT1	Active
CAPN14	Active
EHD3	Active
MEMO1	Active
DPY30	Active
SPAST	Active
SLC30A6	Active
YIPF4	Active
BIRC6	Active
TTC27	Active
FAM98A	Active
LOC105374455	Active
FEZ2	Active
HEATR5B	Active
GPATCH11	Active
EIF2AK2	Active
SULT6B1	Active
CEBPZOS	Active
CEBPZ	Active
NDUFAF7	Active
PRKD3	Active
LOC101929542	Active
CDC42EP3	Active
HNRNPLL	Active
GALM	Active
SRSF7	Active
GEMIN6	Active
DHX57	Active
MORN2	Active
SOS1	Active
MAP4K3	Active
LOC728730	Active
EML4	Active
KCNG3	Active
MTA3	Active
LOC107985875	Active
ZFP36L2	Active
LINC01126	Active
THADA	Active
DYNC2LI1	Active
LOC105374571	Active
LRPPRC	Active
LOC102723904	Active
PPM1B	Active
PREPL	Active
CAMKMT	Active
SRBD1	Active
ATP6V1E2	Active
RHOQ	Active
PIGF	Active
CRIPT	Active
SOCS5	Active
MCFD2	Active
TTC7A	Active
CALM2	Active
LOC101927043	Active
EPCAM	Active
MSH2	Active
MSH6	Active
FBXO11	Active
LOC100506235	Active
FOXN2	Active
PPP1R21	Active
STON1-GTF2A1L	Active
STON1	Active
NRXN1	Active
LOC730100	Active
GPR75-ASB3	Active
GPR75	Active
PSME4	Active
ACYP2	Active
C2orf73	Active
SPTBN1	Active
LOC105374640	Active
CLHC1	Active
RPS27A	Active
MTIF2	Active
CCDC88A	Active
CFAP36	Active
PPP4R3B	Active
LOC107985885	Active
PNPT1	Active
LOC107984043	Active
BCL11A	Active
PAPOLG	Active
LINC01185	Active
REL	Active
PEX13	Active
KIAA1841	Active
LOC339803	Active
C2orf74	Active
USP34	Active
LOC112268409	Active
LOC105377633	Active
XPO1	Active
LOC107985767	Active
FAM161A	Active
CCT4	Active
COMMD1	Active
B3GNT2	Active
WDPCP	Active
MDH1	Active
VPS54	Active
PELI1	Active
LOC100507006	Active
LGALSL	Active
LOC101927402	Active
AFTPH	Active
MIR4434	Active
SERTAD2	Active
LINC01800	Active
LOC107984063	Active
CEP68	Active
RAB1A	Active
ACTR2	Active
ETAA1	Active
C1D	Active
WDR92	Active
PNO1	Active
PPP3R1	Active
LOC107985892	Active
FBXO48	Active
APLF	Active
ANTXR1	Active
GFPT1	Active
AAK1	Active
ANXA4	Active
GMCL1	Active
SNRNP27	Active
MXD1	Active
PCBP1-AS1	Active
PCBP1	Active
C2orf42	Active
TIA1	Active
PCYOX1	Active
SNRPG	Active
FAM136A	Active
ADD2	Active
MCEE	Active
MPHOSPH10	Active
PAIP2B	Active
